Unnamed: 0,ticker,date,c_x,change,v,change3,change4,change5,change6,change7,change8,change9,change10,change11,change12,change13,change14,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
106,QS,2021-05-06,30.98,-1.0948905,9643595,0,-8.650743,-7.069077,-9.87734,-5.7133636,-0.48418334,-4.002582,-6.39122,-10.071013,-14.686894,-17.947063,-12.459651,0,9,12,1690.7097,68179,13,21.0,0.47876367
112,MP,2021-05-06,29.31,0.0,5066531,0,-9.109519,-11.634254,-8.7342205,-6.277721,-2.9682703,-5.834186,-5.59536,-5.6977143,-7.3694983,-7.710679,-6.175367,0,1,0,732.20294,49035,11,22.0,0.43503004
141,FUBO,2021-05-06,17.07,-0.6111111,10579685,0,25.248976,13.532514,22.37844,28.881079,30.521383,25.307558,24.721733,23.60867,28.002344,31.282953,44.639717,0,4,2,1399.5286,74700,2,15.0,0.43171534
147,PLTR,2021-05-06,20.09,-0.6146572,92618718,0,-0.44798407,-3.0861125,0.5475361,1.9910403,7.6157293,4.7287207,3.5838726,5.3260326,7.117969,10.054753,10.701841,0,15,12,3565.093,524603,3,37.0,0.4190317
129,RIDE,2021-05-06,8.06,-0.46296296,6553905,0,-3.7220843,-8.312655,-8.188585,11.042184,35.85608,44.540943,33.25062,27.791563,23.697271,12.903226,21.588089,0,9,7,1169.2961,35719,6,14.0,0.40574238
190,LI,2021-05-06,17.99,1.0095643,12283949,0,3.2240133,2.5013897,2.8349082,6.225681,10.227904,8.949416,14.396887,15.397443,17.509727,19.622013,30.072262,0,14,1,1625.7765,76796,4,15.0,0.39851207
838,CLNE,2021-05-06,9.79,-1.614435,4862462,0,-13.176711,-13.278856,-14.811031,-16.547497,-15.423902,-18.998978,-18.79469,-18.283964,-17.671093,-17.568949,-17.160368,0,7,0,1133.773,32597,3,10.0,0.398179
838,SENS,2021-05-06,1.91,-1.0152284,11554977,0,1.0471205,0.0,2.094241,6.2827225,17.277487,14.136126,14.659686,10.994764,5.7591624,3.6649215,4.712042,0,1,1,2287.1729,26556,23,5.0,0.39762744
645,BNGO,2021-05-06,5.31,0.18050541,23449800,0,-2.636535,-6.967985,5.084746,10.169492,12.6177025,6.2146893,9.60452,8.286252,9.60452,6.2146893,15.819209,0,6,0,1667.5499,85119,4,11.0,0.39739078
838,KODK,2021-05-06,6.87,-0.28490028,2419920,0,3.930131,0.29112083,-0.8733624,1.0189228,1.8922853,-1.1644833,-2.183406,3.7845707,-1.6011645,-1.4556041,3.4934497,0,1,1,1248.6865,12476,3,7.0,0.39289093
838,SRNE,2021-05-06,7.01,-0.5464481,7019110,0,0.0,-2.2824535,-4.136947,-4.136947,3.4236805,0.5706134,5.1355205,4.136947,4.7075605,6.4194007,5.1355205,0,1,2,3006.1006,26897,3,24.0,0.39143455
838,BB,2021-05-06,8.15,0.0,7069833,0,1.2269939,0.36809817,4.785276,5.153374,10.797546,5.398773,8.09816,8.834355,6.380368,6.7484665,17.79141,0,1,1,1277.2898,32681,5,5.0,0.39089152
491,OGI,2021-05-06,2.44,0.7692308,7144912,0,10.245902,8.196721,3.2786884,7.377049,12.704918,9.016394,11.4754095,13.114754,11.4754095,15.983606,17.213116,0,4,0,1120.0514,22147,3,6.0,0.38993353
125,FSR,2021-05-06,11.3,2.0228672,12728350,0,-4.336283,-6.1061945,4.336283,0.7079646,11.946902,11.150442,15.929204,11.415929,12.743362,14.867256,17.433628,0,1,1,2721.642,65035,13,10.0,0.38958645
198,SOS,2021-05-06,3.96,6.088993,29565550,0,-10.10101,-14.141414,-15.40404,-16.919191,-9.090909,-17.171717,-14.89899,-16.919191,-24.242424,-21.717173,-15.40404,0,0,0,1752.8501,84624,10,14.0,0.38812995
441,SNDL,2021-05-06,0.71,-1.2820513,208738795,0,14.084507,4.2253523,1.4084507,7.0422535,11.267606,7.0422535,9.859155,11.267606,5.633803,7.0422535,21.12676,0,4,1,7813.1787,174794,6,18.0,0.38807952
681,ASRT,2021-05-06,0.5,3.9215686,9776835,0,2.0,-2.0,-2.0,-8.0,228.0,224.0,212.0,210.0,210.0,224.0,292.0,0,14,2,2309.302,12304,4,4.0,0.38798264
